geo_value,time_value,value,name,state,metric
42003,11/8/20,103.3848981,Allegheny County,PA,barData
42011,11/8/20,128.0573697,Berks County,PA,barData
42019,11/8/20,62.78558722,Butler County,PA,barData
42077,11/8/20,114.6263182,Lehigh County,PA,barData
42079,11/8/20,12.54547736,Luzerne County,PA,barData
42091,11/8/20,70.03050481,Montgomery County,PA,barData
42101,11/8/20,64.44053896,Philadelphia County,PA,barData
42129,11/8/20,29.91272523,Westmoreland County,PA,barData
42133,11/8/20,21.81798347,York County,PA,barData
42003,11/9/20,37.01434625,Allegheny County,PA,barData
42011,11/9/20,83.23729031,Berks County,PA,barData
42019,11/9/20,31.39279361,Butler County,PA,barData
42077,11/9/20,45.85052728,Lehigh County,PA,barData
42079,11/9/20,7.527286413,Luzerne County,PA,barData
42091,11/9/20,30.86090043,Montgomery County,PA,barData
42101,11/9/20,70.29876977,Philadelphia County,PA,barData
42129,11/9/20,0,Westmoreland County,PA,barData
42133,11/9/20,16.3634876,York County,PA,barData
42003,11/10/20,48.50155716,Allegheny County,PA,barData
42011,11/10/20,96.04302728,Berks County,PA,barData
42019,11/10/20,52.32132268,Butler County,PA,barData
42077,11/10/20,137.5515818,Lehigh County,PA,barData
42079,11/10/20,22.58185924,Luzerne County,PA,barData
42091,11/10/20,26.11306959,Montgomery County,PA,barData
42101,11/10/20,76.15700059,Philadelphia County,PA,barData
42129,11/10/20,17.59572072,Westmoreland County,PA,barData
42133,11/10/20,24.54523141,York County,PA,barData
42003,11/11/20,67.64690866,Allegheny County,PA,barData
42011,11/11/20,102.4458958,Berks County,PA,barData
42019,11/11/20,55.80941086,Butler County,PA,barData
42077,11/11/20,80.23842274,Lehigh County,PA,barData
42079,11/11/20,10.03638188,Luzerne County,PA,barData
42091,11/11/20,37.98264668,Montgomery County,PA,barData
42101,11/11/20,146.4557704,Philadelphia County,PA,barData
42129,11/11/20,10.55743243,Westmoreland County,PA,barData
42133,11/11/20,27.27247934,York County,PA,barData
42003,11/12/20,31.90891918,Allegheny County,PA,barData
42011,11/12/20,70.43155334,Berks County,PA,barData
42019,11/12/20,52.32132268,Butler County,PA,barData
42077,11/12/20,68.77579092,Lehigh County,PA,barData
42079,11/12/20,15.05457283,Luzerne County,PA,barData
42091,11/12/20,20.17828105,Montgomery County,PA,barData
42101,11/12/20,52.72407733,Philadelphia County,PA,barData
42129,11/12/20,10.55743243,Westmoreland County,PA,barData
42133,11/12/20,10.90899174,York County,PA,barData
42003,11/13/20,91.89768724,Allegheny County,PA,barData
42011,11/13/20,121.6545012,Berks County,PA,barData
42019,11/13/20,73.24985176,Butler County,PA,barData
42077,11/13/20,183.4021091,Lehigh County,PA,barData
42079,11/13/20,22.58185924,Luzerne County,PA,barData
42091,11/13/20,83.08703961,Montgomery County,PA,barData
42101,11/13/20,52.72407733,Philadelphia County,PA,barData
42129,11/13/20,14.07657658,Westmoreland County,PA,barData
42133,11/13/20,51.81771075,York County,PA,barData
42003,11/14/20,177.4135906,Allegheny County,PA,barData
42011,11/14/20,166.4745806,Berks County,PA,barData
42019,11/14/20,94.17838083,Butler County,PA,barData
42077,11/14/20,252.1779,Lehigh County,PA,barData
42079,11/14/20,50.18190942,Luzerne County,PA,barData
42091,11/14/20,92.58270128,Montgomery County,PA,barData
42101,11/14/20,175.7469244,Philadelphia County,PA,barData
42129,11/14/20,66.86373874,Westmoreland County,PA,barData
42133,11/14/20,73.63569422,York County,PA,barData
42003,11/15/20,54.88334099,Allegheny County,PA,barData
42011,11/15/20,83.23729031,Berks County,PA,barData
42019,11/15/20,38.36896997,Butler County,PA,barData
42077,11/15/20,45.85052728,Lehigh County,PA,barData
42079,11/15/20,17.5636683,Luzerne County,PA,barData
42091,11/15/20,51.03918147,Montgomery County,PA,barData
42101,11/15/20,93.73169303,Philadelphia County,PA,barData
42129,11/15/20,22.87443694,Westmoreland County,PA,barData
42133,11/15/20,32.72697521,York County,PA,barData
42003,11/16/20,31.90891918,Allegheny County,PA,barData
42011,11/16/20,57.62581637,Berks County,PA,barData
42019,11/16/20,20.92852907,Butler County,PA,barData
42077,11/16/20,80.23842274,Lehigh County,PA,barData
42079,11/16/20,17.5636683,Luzerne County,PA,barData
42091,11/16/20,24.92611188,Montgomery County,PA,barData
42101,11/16/20,87.87346221,Philadelphia County,PA,barData
42129,11/16/20,5.278716216,Westmoreland County,PA,barData
42133,11/16/20,8.181743802,York County,PA,barData
42003,11/17/20,35.73798948,Allegheny County,PA,barData
42011,11/17/20,64.02868485,Berks County,PA,barData
42019,11/17/20,41.85705815,Butler County,PA,barData
42077,11/17/20,34.38789546,Lehigh County,PA,barData
42079,11/17/20,15.05457283,Luzerne County,PA,barData
42091,11/17/20,24.92611188,Montgomery County,PA,barData
42101,11/17/20,87.87346221,Philadelphia County,PA,barData
