geo_value,time_value,indicator,indicator_value
42071,10/25/20,communityIll_value,21.459744
42071,10/26/20,communityIll_value,21.0225829
42071,10/27/20,communityIll_value,20.1939291
42071,10/28/20,communityIll_value,21.3510881
42071,10/29/20,communityIll_value,20.9722594
42071,10/30/20,communityIll_value,20.3996917
42071,10/31/20,communityIll_value,21.0071602
42071,11/1/20,communityIll_value,21.205822
42071,11/2/20,communityIll_value,19.6325066
42071,11/3/20,communityIll_value,20.70012
42071,11/4/20,communityIll_value,20.6146728
42071,11/5/20,communityIll_value,19.6626136
42071,11/6/20,communityIll_value,22.1466499
42071,11/7/20,communityIll_value,22.9872032
42071,11/8/20,communityIll_value,21.7569665
42071,11/9/20,communityIll_value,27.0573296
42071,11/10/20,communityIll_value,29.4044323
42071,11/11/20,communityIll_value,29.6999964
42071,11/12/20,communityIll_value,30.1868599
42071,11/13/20,communityIll_value,31.0345196
42071,11/14/20,communityIll_value,29.505746
42071,11/15/20,communityIll_value,29.6938809
42071,11/16/20,communityIll_value,30.2094828
42071,11/17/20,communityIll_value,29.6087117
42071,11/18/20,communityIll_value,29.1712974
42071,11/19/20,communityIll_value,30.1885648
42071,11/20/20,communityIll_value,29.3075362
42071,11/21/20,communityIll_value,31.8776793
42071,11/22/20,communityIll_value,33.6095953
42071,11/23/20,communityIll_value,33.7332265
42071,11/24/20,communityIll_value,34.4367452
42071,11/25/20,communityIll_value,36.2005413
42071,11/26/20,communityIll_value,36.3769729
42071,11/27/20,communityIll_value,37.4721046
42071,11/28/20,communityIll_value,35.6907441
42071,11/29/20,communityIll_value,34.9733554
42071,11/30/20,communityIll_value,34.3404887
42071,12/1/20,communityIll_value,36.5132105
42073,10/2/20,communityIll_value,17.919695
42073,10/3/20,communityIll_value,16.223206
42073,10/4/20,communityIll_value,16.3359415
42073,10/5/20,communityIll_value,16.3710087
42073,10/6/20,communityIll_value,17.1042372
42073,10/7/20,communityIll_value,18.5991876
42073,10/8/20,communityIll_value,19.1434743
42073,10/13/20,communityIll_value,13.1965504
42073,11/14/20,communityIll_value,33.3491413
42073,11/15/20,communityIll_value,33.9549975
42073,11/16/20,communityIll_value,35.2279687
42073,11/17/20,communityIll_value,34.0043232
42073,11/18/20,communityIll_value,35.6810464
42073,11/19/20,communityIll_value,34.1366116
42073,11/20/20,communityIll_value,33.3092891
